"","CN","SRV_CN","CTY_CN","PREV_PLT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_STATUS_CD","PLOT_NONSAMPLE_REASN_CD","MEASYEAR","MEASMON","MEASDAY","REMPER","KINDCD","DESIGNCD","RDDISTCD","WATERCD","ELEV","GROW_TYP_CD","MORT_TYP_CD","P2PANEL","P3PANEL","ECOSUBCD","CONGCD","MANUAL","KINDCD_NC","QA_STATUS","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","MICROPLOT_LOC","DECLINATION","EMAP_HEX","SAMP_METHOD_CD","SUBP_EXAMINE_CD","MACRO_BREAKPOINT_DIA","INTENSITY","CYCLE","SUBCYCLE","ECO_UNIT_PNW","TOPO_POSITION_PNW","NF_SAMPLING_STATUS_CD","NF_PLOT_STATUS_CD","NF_PLOT_NONSAMPLE_REASN_CD","P2VEG_SAMPLING_STATUS_CD","P2VEG_SAMPLING_LEVEL_DETAIL_CD","INVASIVE_SAMPLING_STATUS_CD","INVASIVE_SPECIMEN_RULE_CD","DESIGNCD_P2A","MANUAL_DB","SUBPANEL","COLOCATED_CD_RMRS","CONDCHNGCD_RMRS","FUTFORCD_RMRS","MANUAL_NCRS","MANUAL_NERS","MANUAL_RMRS","PAC_ISLAND_PNWRS","PLOT_SEASON_NERS","PRECIPITATION","PREV_MICROPLOT_LOC_RMRS","PREV_PLOT_STATUS_CD_RMRS","REUSECD1","REUSECD2","REUSECD3","total_cond","natural","treatment","proportion_forest","cc","FORTYPCD","total_fortypcd","forest_group","do.union"
"11",412221858489998,384841466489998,5010497,22953383010497,2017,6,3,7,91490,1,NA,2017,5,1,10,2,501,3,0,2300,2,2,4,NA,"M261Dl",601,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,7,6,7,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"12",412221863489998,384841466489998,26010497,22955618010497,2017,6,2,49,87512,2,NA,2017,9,1,9.9,2,501,NA,NA,4700,2,2,4,NA,"M261Ge",601,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"13",412221530489998,384841466489998,15010497,22955262010497,2017,6,6,27,74481,2,NA,2017,9,1,9.9,2,501,NA,NA,3700,2,2,4,NA," 322Aa",608,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"14",412221532489998,384841466489998,6010497,22953218010497,2017,6,5,9,76755,3,2,2017,5,23,10,2,501,NA,NA,700,2,2,4,NA," 262Ao",604,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",13.5,NA,2,1,24,1,6,7,5,NA,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"15",412221533489998,384841466489998,6010497,22953208010497,2017,6,5,9,51342,1,NA,2017,5,16,10,2,501,4,0,1100,2,2,4,NA,"M261Fb",604,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",13.5,NA,1,4,24,1,6,7,5,3,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"16",412221534489998,384841466489998,26010497,22955603010497,2017,6,2,49,99797,2,NA,2017,9,1,9.9,2,501,NA,NA,4500,2,2,4,NA,"M261Gd",601,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"17",484816145489998,468963849489998,19010497,22930384010497,2018,6,2,35,50465,1,NA,2018,7,23,10.1,2,501,2,0,5700,2,2,5,NA,"M261Ea",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,5,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"18",484816146489998,468963849489998,19010497,22930381010497,2018,6,2,35,56642,1,NA,2018,9,24,10.2,2,501,6,0,4900,2,2,5,NA,"M261Ea",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,5,0,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,67,371,1,370,TRUE
"19",484816147489998,468963849489998,19010497,22931730010497,2018,6,2,35,92483,2,NA,2018,9,1,9.9,2,501,NA,NA,5300,2,2,5,NA,"M261Gm",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"20",484816148489998,468963849489998,19010497,22931776010497,2018,6,2,35,73313,2,NA,2018,9,1,9.9,2,501,NA,NA,5100,2,2,5,NA," 342Bd",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"21",484816149489998,468963849489998,19010497,22931852010497,2018,6,2,35,50976,1,NA,2018,5,29,9.8,2,501,2,0,6900,2,2,5,NA,"M261Gf",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,7,1,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.276961,14.571089,NA,0.723039,NA,TRUE
"22",484816150489998,468963849489998,19010497,22931779010497,2018,6,2,35,65127,1,NA,2018,9,22,10.2,2,501,5,0,6300,2,2,5,NA,"M261Dd",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,4,0,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,55,221,1,220,TRUE
"23",484816151489998,468963849489998,19010497,22931803010497,2018,6,2,35,98856,1,NA,2018,9,7,9.9,2,501,9,0,5300,2,2,5,NA,"M261Gj",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,3,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,13,369,1,360,TRUE
"24",484816152489998,468963849489998,19010497,22931760010497,2018,6,2,35,90345,2,NA,2018,9,1,9.9,2,501,NA,NA,5100,2,2,5,NA,"M261Gm",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"25",484816153489998,468963849489998,19010497,22931761010497,2018,6,2,35,79151,2,NA,2018,5,31,9.9,2,501,NA,NA,5700,2,2,5,NA,"M261Gm",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,NA,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"26",484816154489998,468963849489998,19010497,22930386010497,2018,6,2,35,51902,2,NA,2018,9,1,9.9,2,501,NA,NA,3900,2,2,5,NA," 342Bc",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"27",484816155489998,468963849489998,19010497,22931717010497,2018,6,2,35,70590,2,NA,2018,9,1,9.9,2,501,NA,NA,7100,2,2,5,NA," 342Bd",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"28",412219766489998,384841466489998,15010497,22955376010497,2017,6,6,27,87199,2,NA,2017,9,1,9.9,2,501,NA,NA,6700,2,2,4,NA,"M261Er",608,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"29",412219767489998,384841466489998,15010497,22955380010497,2017,6,6,27,89273,2,NA,2017,9,1,9.9,2,501,NA,NA,11300,2,2,4,NA,"M261Eo",608,7.1,NA,1,NA,"2018-02-14",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"30",412219923489998,384841466489998,5010497,NA,2017,6,3,7,99016,3,2,2017,9,22,NA,1,501,NA,NA,700,NA,NA,4,NA,"M261Fa",601,7.1,NA,1,NA,"2018-02-13",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,2,1,24,1,6,7,6,NA,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"31",345935021489998,310278365489998,3010497,8934476010901,2016,6,5,3,99318,1,NA,2016,8,2,9.9,2,501,7,0,10100,2,2,3,NA,"M261Et",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,NA,4,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,20,367,1,360,TRUE
"32",345935054489998,310278365489998,11010497,8889372010901,2016,6,5,19,79331,1,NA,2016,6,16,9.9,2,501,3,0,5700,2,2,3,NA,"M261Ep",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",13,NA,1,4,24,1,6,6,5,7,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"33",345935064489998,310278365489998,55010497,NA,2016,6,5,107,55150,3,2,2016,4,12,NA,1,501,NA,NA,1500,NA,NA,3,NA,"M261Fc",623,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",13,NA,2,1,24,1,6,6,5,NA,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"34",345935070489998,310278365489998,21010497,8906770010901,2016,6,5,39,58722,1,NA,2016,4,19,9.4,2,501,1,0,2300,2,2,3,NA,"M261Fc",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",13,NA,1,4,24,1,6,6,5,4,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"35",345935075489998,310278365489998,3010497,8933783010901,2016,6,5,3,98819,1,NA,2016,8,24,10,2,501,9,0,8700,2,2,3,NA,"M261Ek",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,NA,4,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.75,7,281,0.75,280,TRUE
"36",345935076489998,310278365489998,19010497,8905619010901,2016,6,2,35,52969,1,NA,2016,9,22,9.9,2,501,5,0,6900,2,2,3,NA,"M261Gf",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,3,3,1,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0.083688,3.426952,NA,0.916312,NA,TRUE
"37",345935077489998,310278365489998,19010497,8905216010901,2016,6,2,35,57404,1,NA,2016,10,12,10.3,2,501,7,0,5900,2,2,3,NA,"M261Gi",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,3,7,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"38",345935078489998,310278365489998,19010497,8904016010901,2016,6,2,35,90561,2,NA,2016,9,1,9.9,2,501,NA,NA,5100,2,2,3,NA," 342Bd",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"39",345935079489998,310278365489998,46010497,8950491010901,2016,6,2,89,75276,1,NA,2016,5,24,10,2,501,2,0,3300,2,2,3,NA,"M261Dj",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,1,5,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"40",345935080489998,310278365489998,46010497,8948904010901,2016,6,2,89,79143,2,NA,2016,9,1,9.9,2,501,NA,NA,3700,2,2,3,NA,"M261Dj",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"41",345935081489998,310278365489998,26010497,8908269010901,2016,6,2,49,96501,2,NA,2016,9,1,9.9,2,501,NA,NA,4900,2,2,3,NA,"M261Gb",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"42",345935082489998,310278365489998,26010497,8913638010901,2016,6,2,49,96251,2,NA,2016,9,1,9.9,2,501,NA,NA,4900,2,2,3,NA,"M261Gi",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"43",345935085489998,310278365489998,33010497,8924451010901,2016,6,3,63,82999,1,NA,2016,8,30,10.2,2,501,2,0,5100,2,2,3,NA,"M261Ec",601,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,6,4,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"44",345935086489998,310278365489998,32010497,8923332010901,2016,6,3,61,52287,1,NA,2016,7,1,9.8,2,501,4,4,5900,2,2,3,NA,"M261Eh",604,7,NA,1,NA,"2017-03-28",489998,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,6,4,5,1,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,35,371,1,370,TRUE
"45",484816156489998,468963849489998,19010497,22931819010497,2018,6,2,35,65952,2,NA,2018,9,1,9.9,2,501,NA,NA,6500,2,2,5,NA,"M261Gi",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"46",484816157489998,468963849489998,19010497,22931738010497,2018,6,2,35,89524,2,NA,2018,9,1,9.9,2,501,NA,NA,4500,2,2,5,NA," 342Bd",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"47",484816158489998,468963849489998,19010497,22931813010497,2018,6,2,35,96507,1,NA,2018,9,20,10.1,2,501,5,0,5300,2,2,5,NA,"M261Gl",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,5,0,NA,NA,2,3,2,0,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,48.409895,225,1,220,TRUE
"48",484816159489998,468963849489998,19010497,22931831010497,2018,6,2,35,95618,2,NA,2018,9,1,9.9,2,501,NA,NA,4100,2,2,5,NA,"M261Gd",601,7.2,NA,1,NA,"2019-04-26",126144,NA,"2020-07-24",290487,"OFFSET",NA,NA,2,4,24,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"49",484816160489998,468963849489998,19010497,22931808010497,2018,6,2,35,65542,1,NA,2019,6,19,10.7,2,501,6,0,5700,2,2,5,NA,"M261Gi",601,8,NA,1,NA,"2019-12-12",290487,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,5,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"50",484816161489998,468963849489998,19010497,22931788010497,2018,6,2,35,74620,1,NA,2018,9,6,9.9,2,501,8,4,6100,2,2,5,NA,"M261Gm",601,7.2,NA,1,NA,"2019-04-11",126144,NA,"2020-07-24",290487,"OFFSET",14,NA,1,4,24,1,6,8,3,7,0,NA,NA,2,3,0,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
